no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,arrival_day,booking_status
2,0,1,5,Meal Plan 1,0,Room_Type 1,56,Online,0,0,0,118.95,0,249,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,62,Offline,0,0,0,60,0,324,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,40,Online,0,0,0,130,1,316,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,141,Online,0,0,0,105.3,2,199,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,25,Online,0,0,0,88.4,1,342,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,131,Online,0,0,0,114.3,1,126,Canceled
1,0,0,1,Meal Plan 2,1,Room_Type 1,3,Complementary,1,0,5,0,0,100,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,106.2,1,118,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 4,120,Online,0,0,0,127.8,1,222,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,6,Corporate,0,0,0,89,0,277,Not_Canceled
1,0,2,0,Meal Plan 1,0,Room_Type 1,12,Online,0,0,0,81.62,1,150,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,145,Online,0,0,0,76.5,1,228,Not_Canceled
2,0,0,1,Meal Plan 2,0,Room_Type 1,55,Offline,0,0,0,104,0,97,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,111,Online,0,0,0,120,0,284,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,12,Online,0,0,0,148,0,365,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,19,Online,0,0,0,91,1,74,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,1,Corporate,1,0,1,65,1,7,Not_Canceled
2,1,2,7,Meal Plan 1,0,Room_Type 1,237,Online,0,0,0,93.03,0,358,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,51,Online,0,0,0,117.9,1,183,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,109,0,227,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,57,Online,0,0,0,84.69,1,284,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 4,84,Online,0,0,0,150.3,1,218,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,258,Online,0,0,0,100.3,0,276,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,180,0,270,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,3,Online,0,0,0,78.3,0,8,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,72.38,1,341,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,7,Corporate,0,0,0,79,0,308,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,172,Online,0,0,0,109.8,0,230,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,210,Offline,0,0,0,72.75,0,282,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,125.1,2,153,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,17,Corporate,0,0,0,80,1,77,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,185,0,269,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,298,Offline,0,0,0,76,0,131,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 2,223,Online,0,0,0,86.63,0,206,Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,41,Online,0,0,0,140,1,323,Not_Canceled
3,0,2,1,Meal Plan 1,0,Room_Type 4,172,Online,0,0,0,107.1,1,234,Canceled
1,0,1,1,Not Selected,0,Room_Type 1,13,Online,0,0,0,88,0,340,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,37,Online,0,0,0,135.9,2,195,Not_Canceled
2,1,2,3,Meal Plan 1,0,Room_Type 4,40,Offline,0,0,0,60,1,306,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,141,Online,0,0,0,96.3,1,183,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 4,5,Online,0,0,0,105,0,306,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 1,71,Offline,0,0,0,126,1,131,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,4,Offline,0,0,0,87,0,38,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,239,Offline,0,0,0,112.2,0,167,Canceled
1,0,0,3,Not Selected,0,Room_Type 1,1,Online,0,0,0,78,1,348,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,83,Online,0,0,0,105.3,0,85,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,65,0,218,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,54,Offline,0,0,0,62.67,0,366,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,74,Online,0,0,0,77.62,0,119,Not_Canceled
2,0,1,4,Not Selected,0,Room_Type 1,143,Online,0,0,0,64.26,0,123,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,7,Online,0,0,0,140,1,235,Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,15,Online,0,0,0,111,0,150,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,122.48,3,365,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 1,163,Offline,0,0,0,100,0,157,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,28,Offline,0,0,0,90,0,138,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,245,Offline,0,0,0,75,0,169,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,280,Offline,0,0,0,110,0,263,Canceled
2,0,1,4,Not Selected,0,Room_Type 1,90,Online,0,0,0,88.74,0,361,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,12,Offline,0,0,0,72,0,19,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,0,Offline,0,0,0,84,0,96,Not_Canceled
2,0,2,1,Not Selected,0,Room_Type 1,65,Online,0,0,0,79.2,1,331,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,63,Offline,0,0,0,116,0,248,Not_Canceled
2,0,0,3,Meal Plan 2,0,Room_Type 4,58,Online,0,0,0,153,1,96,Not_Canceled
1,0,0,5,Meal Plan 1,0,Room_Type 1,8,Corporate,0,0,0,65,0,61,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,0,0,0,76,0,58,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 2,1,Online,0,0,0,74.25,1,4,Not_Canceled
2,0,1,3,Not Selected,0,Room_Type 1,100,Online,0,0,0,91.38,1,123,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,104,Offline,0,0,0,75,0,338,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,11,Online,0,0,0,62.37,1,348,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,9,Online,0,0,0,151.67,1,239,Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 4,40,Online,0,0,0,98.82,0,74,Not_Canceled
2,0,2,6,Not Selected,0,Room_Type 1,106,Online,0,0,0,94.5,0,194,Canceled
2,0,1,2,Not Selected,0,Room_Type 1,141,Online,0,0,0,85.5,2,242,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,119,1,114,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,212,Online,0,0,0,81.77,0,171,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,45,Online,0,0,0,71.1,1,73,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,107,Online,0,0,0,76.5,0,225,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,69.29,0,362,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,23,Online,0,0,0,104.5,0,261,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75,0,97,Canceled
2,0,0,4,Meal Plan 1,1,Room_Type 1,156,Online,0,0,0,114.83,1,187,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,104,Online,0,0,0,135.9,2,262,Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,188,Offline,0,0,0,130,0,167,Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,31,Offline,0,0,0,75,0,260,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,21,Offline,0,0,0,70,0,345,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,296,Offline,0,0,0,85,0,265,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75,0,97,Canceled
2,0,1,1,Meal Plan 2,0,Room_Type 1,7,Offline,0,0,0,112.2,0,279,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,71,Online,0,0,0,112.5,0,182,Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,115,Offline,0,0,0,76,0,58,Not_Canceled
1,0,0,4,Meal Plan 2,0,Room_Type 1,323,Offline,0,0,0,86,0,138,Not_Canceled
2,1,1,4,Meal Plan 1,0,Room_Type 1,81,Online,0,0,0,135.15,2,130,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,84,Online,0,0,0,90.9,1,300,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,151.33,2,274,Not_Canceled
2,0,2,3,Meal Plan 1,0,Room_Type 1,161,Online,0,0,0,101.15,1,213,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,41,Offline,0,0,0,65,1,362,Not_Canceled
1,2,0,1,Meal Plan 1,0,Room_Type 2,22,Online,0,0,0,284.1,0,261,Canceled
2,0,0,2,Not Selected,0,Room_Type 1,0,Online,0,0,0,91.59,0,229,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,45,Online,0,0,0,94.5,1,104,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,159,Offline,0,0,0,70,1,100,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,103,Offline,0,0,0,80,0,125,Not_Canceled
2,0,2,0,Meal Plan 1,0,Room_Type 1,1,Offline,1,1,0,105,1,255,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,6,Online,0,0,0,88,0,336,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 4,46,Offline,0,0,0,60,0,308,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,64,Offline,0,0,0,75,0,323,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,28,Offline,0,0,0,75,2,271,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,305,Offline,0,0,0,89,0,309,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,271,Online,0,0,0,101.33,1,265,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,97,Online,0,0,0,140.5,1,316,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,180,Offline,0,0,0,70,0,290,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,117.9,1,218,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 4,1,Online,0,0,0,99,1,4,Not_Canceled
2,0,2,1,Meal Plan 1,1,Room_Type 1,192,Online,0,0,0,105.3,1,213,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,164,Online,0,0,0,100.3,1,171,Canceled
2,1,2,1,Meal Plan 2,0,Room_Type 1,35,Online,0,0,0,171.45,0,241,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 4,3,Online,0,0,0,110.8,1,238,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,99.9,0,103,Canceled
1,0,1,0,Not Selected,0,Room_Type 1,0,Offline,0,0,0,66.4,0,130,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,139,0,294,Not_Canceled
2,0,1,2,Meal Plan 2,0,Room_Type 1,418,Offline,0,0,0,107,0,270,Canceled
3,0,0,1,Meal Plan 1,0,Room_Type 1,15,Offline,0,0,0,65,1,362,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,75,0,97,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,166,Offline,0,0,0,110,0,306,Canceled
2,0,1,0,Not Selected,0,Room_Type 1,49,Online,0,0,0,93.15,0,193,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,94.5,1,296,Not_Canceled
2,0,2,5,Not Selected,0,Room_Type 1,61,Online,0,0,0,95.66,1,245,Not_Canceled
1,0,1,4,Meal Plan 1,0,Room_Type 1,36,Online,0,0,0,88.4,2,356,Not_Canceled
1,0,1,0,Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,0,95,0,172,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,56,Offline,0,0,0,82,0,261,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,110,Offline,0,0,0,70,0,344,Not_Canceled
1,0,2,1,Meal Plan 1,0,Room_Type 1,94,Online,0,0,0,111.33,1,282,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,82,Online,0,0,0,76.5,0,198,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 4,1,Online,0,0,0,136,0,278,Not_Canceled
2,0,2,0,Not Selected,0,Room_Type 1,34,Online,0,0,0,99,1,269,Not_Canceled
2,0,0,2,Not Selected,0,Room_Type 1,46,Online,0,0,0,107.55,2,293,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,44,Offline,0,0,0,95,1,114,Not_Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 4,20,Online,0,0,0,131.35,1,363,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,171,Online,0,0,0,126.9,0,260,Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,47,Online,0,0,0,93.5,1,81,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 4,70,Online,0,0,0,127.8,0,213,Canceled
3,0,0,3,Meal Plan 1,0,Room_Type 4,97,Online,0,0,0,168.3,2,271,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,346,Offline,0,0,0,115,1,257,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Online,0,0,0,91,0,49,Not_Canceled
2,1,0,3,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,112.5,1,97,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,0,Corporate,0,0,0,73,1,335,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,56,Offline,0,0,0,120,0,160,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,120,Online,0,0,0,79.05,0,87,Canceled
2,0,2,1,Not Selected,0,Room_Type 1,8,Online,0,0,0,77.92,0,362,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,8,Online,0,0,0,95,2,231,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,93,Online,0,0,0,126.9,1,172,Not_Canceled
2,0,0,1,Not Selected,0,Room_Type 1,100,Online,0,0,0,79.2,1,317,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,443,Offline,0,0,0,65,0,120,Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,6,Online,0,0,0,171,2,220,Not_Canceled
2,0,2,0,Meal Plan 2,0,Room_Type 1,196,Online,0,0,0,139.5,0,234,Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,66,Online,0,0,0,98.1,2,247,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,349,Offline,0,0,0,90,0,278,Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,27,Offline,0,0,0,66,0,66,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,164,Offline,0,0,0,100,0,276,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 1,193,Offline,0,0,0,120,0,172,Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,53,Online,0,0,0,135.9,3,253,Not_Canceled
3,0,0,2,Meal Plan 1,0,Room_Type 4,56,Online,0,0,0,126,0,337,Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,71,Offline,0,0,0,120,0,166,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,55,Corporate,0,0,0,79,0,189,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 4,2,Online,0,0,0,185,2,224,Not_Canceled
2,0,2,2,Not Selected,0,Room_Type 1,12,Online,0,0,0,131.5,3,227,Not_Canceled
3,0,1,3,Meal Plan 1,0,Room_Type 1,35,Online,0,0,0,118.8,0,249,Not_Canceled
2,0,1,0,Meal Plan 1,0,Room_Type 1,18,Offline,0,0,0,80,0,346,Not_Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,270,Offline,0,0,0,70,0,111,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 4,120,Online,0,0,0,132.3,2,287,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,88,Online,0,0,0,116.1,0,123,Canceled
2,1,1,0,Meal Plan 1,0,Room_Type 1,137,Online,0,0,0,121.5,2,234,Not_Canceled
2,0,1,1,Meal Plan 1,0,Room_Type 1,67,Offline,0,0,0,72.25,0,205,Not_Canceled
3,0,2,2,Meal Plan 1,0,Room_Type 1,141,Offline,0,0,0,96.9,0,233,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,58,Offline,0,0,0,81,0,27,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,320,Offline,0,0,0,115,1,231,Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,120,Online,0,0,0,90,2,308,Not_Canceled
2,0,1,2,Not Selected,0,Room_Type 1,99,Online,0,0,0,161.1,2,312,Not_Canceled
1,0,0,4,Meal Plan 1,0,Room_Type 1,215,Online,0,0,0,100.8,2,125,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 1,197,Online,0,0,0,106.2,2,103,Canceled
2,1,0,2,Meal Plan 1,0,Room_Type 4,84,Online,0,0,0,134.1,1,217,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,9,Offline,0,0,0,85,1,276,Not_Canceled
2,0,0,4,Meal Plan 1,0,Room_Type 1,74,Online,0,0,0,99.45,1,104,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,322,Offline,0,0,0,80,0,140,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,87,Offline,0,0,0,95,0,163,Not_Canceled
1,0,0,1,Not Selected,0,Room_Type 1,76,Online,0,0,0,69.3,1,112,Not_Canceled
1,0,0,2,Meal Plan 2,0,Room_Type 1,377,Offline,0,0,0,90,0,288,Not_Canceled
2,0,2,1,Meal Plan 1,0,Room_Type 1,282,Offline,0,0,0,76.67,0,284,Not_Canceled
1,0,1,1,Meal Plan 1,0,Room_Type 1,82,Offline,0,0,0,80,1,123,Not_Canceled
2,0,1,5,Meal Plan 1,0,Room_Type 1,20,Online,1,1,0,98.4,0,286,Not_Canceled
2,0,0,1,Meal Plan 1,0,Room_Type 1,5,Offline,0,0,0,75,0,225,Not_Canceled
3,0,1,2,Meal Plan 1,0,Room_Type 4,103,Online,0,0,0,140,1,354,Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,59,Online,0,0,0,87.3,1,69,Not_Canceled
1,0,0,3,Meal Plan 1,0,Room_Type 1,105,Offline,0,0,0,70,0,286,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,5,Online,0,0,0,160,2,291,Not_Canceled
1,0,0,2,Meal Plan 1,0,Room_Type 1,1,Online,0,0,0,114,0,253,Not_Canceled
2,0,2,4,Meal Plan 1,0,Room_Type 4,53,Online,0,0,0,128.1,2,248,Not_Canceled
2,1,0,1,Meal Plan 1,0,Room_Type 1,21,Online,0,0,0,107.42,2,243,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,21,Corporate,0,0,0,66,0,56,Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,39,Offline,0,0,0,101.5,0,227,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,91,Online,0,0,0,132.3,2,294,Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,10,Online,0,0,0,86.72,1,316,Not_Canceled
2,0,2,5,Meal Plan 1,0,Room_Type 1,66,Offline,0,0,0,68,1,358,Not_Canceled
1,0,2,3,Meal Plan 1,0,Room_Type 1,24,Corporate,0,0,0,95,1,129,Not_Canceled
2,0,1,2,Meal Plan 1,0,Room_Type 4,35,Offline,0,0,0,70,0,304,Not_Canceled
2,0,1,3,Meal Plan 1,0,Room_Type 1,12,Corporate,0,0,0,100,0,286,Not_Canceled
2,1,2,5,Meal Plan 1,0,Room_Type 1,156,Offline,0,0,0,94.91,1,193,Not_Canceled
2,1,2,2,Meal Plan 1,0,Room_Type 1,44,Online,0,0,0,137.14,2,120,Not_Canceled
2,0,0,3,Meal Plan 1,0,Room_Type 4,80,Online,0,0,0,95.24,1,119,Not_Canceled
2,1,2,1,Meal Plan 1,0,Room_Type 1,72,Online,0,0,0,109.8,2,338,Not_Canceled
1,0,0,1,Meal Plan 1,0,Room_Type 1,4,Online,0,0,0,137,1,132,Not_Canceled
2,0,1,4,Meal Plan 1,0,Room_Type 1,33,Online,0,0,0,111.42,1,242,Not_Canceled
3,0,1,0,Meal Plan 1,0,Room_Type 4,63,Online,0,0,0,137.7,0,199,Not_Canceled
2,0,0,2,Meal Plan 1,0,Room_Type 1,45,Online,0,0,0,118.8,2,245,Not_Canceled
1,0,2,5,Meal Plan 2,0,Room_Type 1,277,Offline,0,0,0,79.57,0,249,Not_Canceled
2,0,2,2,Meal Plan 1,0,Room_Type 1,67,Offline,0,0,0,75,0,337,Not_Canceled
1,0,2,2,Meal Plan 1,0,Room_Type 4,77,Online,0,0,0,145.8,1,311,Not_Canceled
2,0,0,5,Meal Plan 1,0,Room_Type 1,129,Offline,0,0,0,47.2,0,364,Not_Canceled
2,0,0,2,Meal Plan 2,0,Room_Type 1,30,Offline,0,0,0,121,0,274,Not_Canceled
0,2,0,3,Meal Plan 1,0,Room_Type 2,156,Online,0,0,0,108.66,0,244,Canceled
